project_type,problem_complexity,team_size,expected_duration_months,tech_stack,features_count,external_integrations,ui_ux_complexity,data_handling_required,analytics_required,security_compliance,stakeholders_count,requires_mobile_app,requires_web_portal,existing_system_in_place,geographic_scope,deployment_model,project_priority,risk_factors_count,target_users_count,sprint_count,average_hourly_rate,infrastructure_required,client_industry,third_party_license_cost,project_location,poc_done,hosting_provider,hosting_monthly_cost,hosting_duration_months,team_composition,project_cost_estimate
E-commerce,Low,7,6,MEAN,26,SMS,Advanced,False,True,Basic,1,False,True,False,National,Hybrid,High,5,34412,6,600,Basic,Retail,0,Tier 1,True,None,3000,6,balanced,593769
Travel,Medium,3,10,Java + Spring Boot,25,SMS,Basic,True,True,None,5,False,True,True,Local,Hybrid,Low,3,59509,4,1000,Dedicated,Logistics,5000,Tier 2,True,None,3000,10,senior-heavy,770797
FinTech,Low,13,9,Java + Spring Boot,11,SMS,Moderate,True,False,None,6,False,True,False,National,Cloud,Low,3,12065,7,300,None,Logistics,20000,Tier 1,True,DigitalOcean,10000,9,junior-heavy,1081243
Retail,Low,6,11,PHP + Laravel,11,Payment,Moderate,True,True,Basic,3,True,False,True,Local,Hybrid,Low,1,1997,4,300,None,Logistics,0,Tier 2,True,Azure,1000,11,junior-heavy,527848
Education,Medium,7,4,Java + Spring Boot,21,All,Basic,False,True,Advanced,1,False,False,True,Local,On-prem,Medium,3,89978,2,300,Basic,Healthcare,0,Tier 1,True,DigitalOcean,5000,4,junior-heavy,235164
Retail,High,12,3,Java + Spring Boot,17,All,Advanced,False,False,Advanced,10,False,True,True,Global,Hybrid,High,5,28233,5,300,Basic,Education,10000,Tier 2,False,None,1000,3,junior-heavy,275591
FinTech,Medium,9,3,MEAN,26,SMS,Basic,True,True,None,7,True,False,True,Global,Cloud,High,4,73670,4,600,Dedicated,Finance,20000,Tier 2,False,None,3000,3,balanced,375768
Retail,High,14,6,MEAN,9,SMS,Basic,True,False,Advanced,6,True,False,True,National,Hybrid,High,4,88520,7,300,Dedicated,Finance,10000,Rural,False,AWS,10000,6,junior-heavy,618567
Healthcare,High,5,6,Python + Django,7,Payment,Advanced,True,True,Advanced,9,True,False,False,National,On-prem,Low,2,40896,7,600,Basic,Logistics,10000,Rural,True,AWS,3000,6,balanced,361435
Travel,Medium,5,11,Python + Django,24,SMS,Moderate,False,True,Advanced,2,False,False,True,National,Hybrid,High,4,63833,6,300,Dedicated,Retail,0,Tier 1,True,None,0,11,junior-heavy,348059
Healthcare,Medium,12,2,Java + Spring Boot,15,None,Basic,False,False,None,3,False,True,False,Local,On-prem,High,0,57226,2,300,Basic,Finance,10000,Tier 2,False,None,1000,2,junior-heavy,209273
FinTech,Low,14,8,PHP + Laravel,19,Maps,Basic,False,True,None,7,False,True,False,National,Hybrid,Medium,1,43705,8,1000,None,Finance,0,Rural,True,Azure,3000,8,senior-heavy,2517888
FinTech,Low,15,7,MEAN,24,Payment,Advanced,True,True,Advanced,8,False,False,False,Global,On-prem,Low,3,9000,5,600,Basic,Retail,5000,Tier 2,True,DigitalOcean,1000,7,balanced,1245788
FinTech,Medium,11,6,MERN,25,None,Advanced,False,False,Advanced,9,True,False,True,National,Hybrid,Medium,4,19823,2,300,Basic,Finance,20000,Tier 2,True,Azure,5000,6,junior-heavy,420064
FinTech,Medium,3,9,Python + Django,29,Maps,Advanced,True,False,None,6,True,False,False,National,Hybrid,High,4,19759,4,300,None,Logistics,5000,Rural,True,DigitalOcean,5000,9,junior-heavy,227186
E-commerce,Medium,7,12,PHP + Laravel,17,Maps,Basic,True,False,Advanced,6,True,False,False,Local,Cloud,Medium,3,25216,3,1000,None,Education,5000,Tier 1,False,AWS,5000,12,senior-heavy,2081375
Retail,Low,11,10,PHP + Laravel,17,Payment,Basic,True,True,Advanced,8,True,False,False,Global,Hybrid,Low,3,80081,4,1000,Dedicated,Healthcare,10000,Tier 1,True,DigitalOcean,0,10,senior-heavy,2917353
FinTech,Medium,15,5,PHP + Laravel,21,SMS,Basic,True,True,Basic,1,False,False,True,Global,Hybrid,Low,2,11043,8,600,None,Retail,20000,Tier 2,True,None,3000,5,balanced,1060538
Education,High,4,9,Java + Spring Boot,12,SMS,Basic,False,True,None,6,True,False,True,Local,Cloud,Medium,3,91285,8,300,None,Healthcare,0,Tier 2,True,AWS,3000,9,junior-heavy,268822
FinTech,Low,3,5,Java + Spring Boot,8,None,Basic,False,False,None,2,False,True,True,Global,Cloud,Medium,3,255,6,600,Basic,Education,20000,Rural,False,Azure,1000,5,balanced,199467
Retail,High,13,3,PHP + Laravel,30,All,Advanced,True,False,Basic,1,False,False,False,Global,Cloud,Medium,0,45243,3,1000,Dedicated,Finance,10000,Rural,False,Azure,10000,3,senior-heavy,787610
Travel,Medium,3,10,Python + Django,25,Payment,Basic,True,False,None,5,True,True,True,Local,On-prem,Medium,4,52246,8,600,Dedicated,Healthcare,5000,Tier 2,True,Azure,3000,10,balanced,509508
FinTech,Medium,7,2,Python + Django,28,SMS,Moderate,False,True,Basic,8,False,False,True,Global,On-prem,Low,3,79014,8,600,None,Logistics,10000,Tier 2,False,AWS,3000,2,balanced,180677
Travel,Medium,4,12,MEAN,27,SMS,Moderate,False,True,Advanced,6,False,False,True,Local,Hybrid,High,3,47669,6,600,Dedicated,Education,10000,Tier 1,True,None,3000,12,balanced,698877
Retail,Low,3,3,PHP + Laravel,9,SMS,Moderate,False,False,None,10,True,False,False,National,Hybrid,Medium,1,14919,2,300,Dedicated,Education,10000,Tier 2,False,AWS,1000,3,junior-heavy,72027
Education,Low,7,9,MERN,9,None,Moderate,True,False,None,6,False,True,False,National,Cloud,High,5,91829,7,600,None,Retail,10000,Rural,True,AWS,1000,9,balanced,959129
Retail,Medium,6,5,Python + Django,30,All,Basic,True,True,Basic,7,False,False,False,Global,Cloud,Low,2,84242,2,300,Basic,Healthcare,0,Rural,False,Azure,5000,5,junior-heavy,221741
Healthcare,Medium,15,12,PHP + Laravel,6,None,Advanced,True,False,None,3,False,True,False,Global,On-prem,Low,2,25779,7,1000,Dedicated,Retail,5000,Tier 1,False,AWS,10000,12,senior-heavy,4726805
Retail,High,11,4,PHP + Laravel,15,All,Basic,True,True,None,10,False,True,False,Global,Hybrid,Low,3,82253,6,1000,Basic,Retail,5000,Tier 2,True,None,10000,4,senior-heavy,930420
Education,Medium,7,3,MEAN,15,All,Basic,False,False,Advanced,6,False,True,False,Global,Hybrid,Low,2,31735,5,600,None,Retail,5000,Tier 2,True,Azure,0,3,balanced,289492
Healthcare,Medium,4,6,PHP + Laravel,28,Maps,Basic,True,False,Advanced,8,False,False,False,Local,Cloud,Medium,4,59980,3,300,None,Logistics,20000,Tier 2,True,AWS,5000,6,junior-heavy,197835
E-commerce,Medium,7,11,MEAN,13,Maps,Moderate,False,True,Basic,1,True,False,False,Local,On-prem,High,3,72120,4,600,Dedicated,Logistics,10000,Tier 1,True,AWS,5000,11,balanced,1151340
Healthcare,High,9,7,PHP + Laravel,17,All,Basic,True,True,None,6,False,False,True,Global,Hybrid,Low,2,80406,4,600,None,Healthcare,10000,Rural,False,DigitalOcean,10000,7,balanced,1050150
E-commerce,Medium,11,10,Java + Spring Boot,26,None,Moderate,False,True,Advanced,8,False,True,True,Global,On-prem,Low,4,82497,7,1000,Dedicated,Healthcare,10000,Tier 1,True,AWS,5000,10,senior-heavy,2579093
Education,Low,12,3,Python + Django,27,Payment,Moderate,False,True,Advanced,3,True,False,False,Global,On-prem,Medium,1,60299,6,1000,Basic,Logistics,0,Tier 2,False,None,1000,3,senior-heavy,816000
FinTech,Medium,6,6,MEAN,27,SMS,Moderate,False,False,Advanced,5,False,True,False,National,On-prem,Low,2,5563,4,300,Dedicated,Finance,10000,Tier 2,False,DigitalOcean,10000,6,junior-heavy,289127
Travel,Medium,14,5,MEAN,8,All,Advanced,True,True,None,9,True,True,True,Local,On-prem,Medium,5,61968,2,600,Dedicated,Education,10000,Tier 1,True,None,1000,5,balanced,1148593
Travel,Low,13,9,MERN,25,All,Basic,True,True,Basic,3,True,False,False,Local,Hybrid,Medium,0,1264,4,600,Dedicated,Logistics,10000,Tier 1,False,DigitalOcean,1000,9,balanced,1529735
Healthcare,High,10,10,Python + Django,13,Payment,Basic,False,True,Advanced,8,False,True,True,Global,On-prem,Medium,4,88445,8,1000,None,Education,20000,Rural,False,None,10000,10,senior-heavy,2797233
Healthcare,Medium,11,3,Java + Spring Boot,12,None,Moderate,False,True,Basic,5,False,False,True,National,Hybrid,Medium,5,31022,2,600,Dedicated,Finance,0,Tier 2,False,Azure,5000,3,balanced,416314
FinTech,Medium,9,10,PHP + Laravel,12,Payment,Basic,False,True,Basic,10,False,False,False,Global,Hybrid,Low,1,89223,8,1000,Dedicated,Finance,0,Rural,False,DigitalOcean,3000,10,senior-heavy,2222023
Healthcare,Low,4,3,Java + Spring Boot,21,SMS,Basic,True,False,None,9,False,True,False,Local,Hybrid,Medium,3,73962,2,1000,Dedicated,Healthcare,5000,Rural,False,AWS,0,3,senior-heavy,290272
FinTech,High,9,2,MERN,22,None,Basic,False,True,Basic,7,True,True,False,National,On-prem,Medium,3,49286,2,600,Dedicated,Logistics,0,Tier 1,False,AWS,1000,2,balanced,208000
Healthcare,Low,5,8,MERN,14,SMS,Advanced,False,False,None,4,False,False,True,National,Cloud,High,0,4272,8,1000,Dedicated,Healthcare,5000,Rural,True,Azure,10000,8,senior-heavy,1101203
Travel,High,6,3,MERN,12,None,Moderate,False,True,Advanced,4,True,True,False,Local,Hybrid,High,2,75740,6,300,Dedicated,Retail,0,Tier 1,False,Azure,10000,3,junior-heavy,153052
Retail,High,13,5,MEAN,25,SMS,Advanced,False,True,Basic,7,False,False,False,Local,On-prem,Medium,1,98932,6,1000,Basic,Education,10000,Tier 1,False,Azure,5000,5,senior-heavy,1406490
Retail,High,15,2,MEAN,17,Payment,Moderate,True,False,Advanced,2,False,False,True,Global,Hybrid,Low,0,35237,5,600,Dedicated,Logistics,20000,Rural,True,AWS,10000,2,balanced,539381
FinTech,Medium,6,12,MERN,11,Payment,Advanced,True,False,None,10,True,False,True,Global,On-prem,Medium,3,61162,6,1000,Dedicated,Retail,5000,Tier 2,False,DigitalOcean,10000,12,senior-heavy,1780363
FinTech,Low,11,9,Java + Spring Boot,15,SMS,Basic,True,True,None,5,False,False,True,Local,On-prem,Low,3,74733,8,600,None,Healthcare,20000,Rural,False,DigitalOcean,0,9,balanced,1531991
FinTech,Low,15,12,MEAN,28,All,Moderate,True,True,Advanced,1,True,True,True,National,Cloud,High,1,8958,7,600,None,Finance,20000,Tier 1,False,DigitalOcean,5000,12,balanced,2252872
E-commerce,Low,3,12,PHP + Laravel,22,SMS,Basic,True,False,Advanced,5,True,False,True,Local,Cloud,High,1,31634,3,1000,Dedicated,Logistics,20000,Tier 2,False,DigitalOcean,10000,12,senior-heavy,1037981
Healthcare,High,15,3,MEAN,14,None,Advanced,True,True,Basic,7,False,False,True,Global,Cloud,High,1,10887,5,600,Basic,Retail,20000,Rural,True,AWS,3000,3,balanced,643932
E-commerce,High,6,11,Java + Spring Boot,22,All,Advanced,True,True,Basic,1,True,True,False,Local,On-prem,Low,4,31569,6,300,Basic,Logistics,10000,Tier 2,False,Azure,5000,11,junior-heavy,434833
Education,Low,15,3,MERN,15,All,Advanced,False,False,None,5,False,False,True,National,Hybrid,Medium,3,24395,7,1000,Dedicated,Healthcare,10000,Tier 1,False,Azure,10000,3,senior-heavy,897622
Travel,Low,14,3,Python + Django,15,Maps,Basic,True,True,Basic,8,False,False,True,Local,Cloud,Low,3,58880,6,300,Dedicated,Logistics,5000,Tier 2,True,AWS,3000,3,junior-heavy,291782
E-commerce,Medium,4,10,Python + Django,17,None,Advanced,True,True,Advanced,7,True,True,False,National,On-prem,Medium,1,8342,3,600,Basic,Retail,10000,Tier 2,False,None,0,10,balanced,643172
Education,High,15,7,PHP + Laravel,11,SMS,Basic,True,False,None,7,False,False,False,National,On-prem,Medium,5,77958,3,300,Basic,Retail,5000,Rural,True,None,3000,7,junior-heavy,818480
Travel,Medium,8,8,PHP + Laravel,30,Payment,Moderate,False,False,Basic,6,True,True,True,Global,Hybrid,Low,5,60555,7,300,None,Healthcare,10000,Tier 2,True,None,3000,8,junior-heavy,522098
Healthcare,High,13,4,Python + Django,30,SMS,Basic,False,False,Advanced,7,False,True,False,Global,Hybrid,High,5,11188,2,600,None,Retail,5000,Tier 1,True,None,3000,4,balanced,668984
Healthcare,High,15,8,PHP + Laravel,22,All,Advanced,True,False,Basic,7,False,True,False,Local,On-prem,Low,2,54572,2,600,None,Education,0,Tier 2,False,DigitalOcean,0,8,balanced,1408877
Education,High,10,10,Python + Django,15,None,Moderate,True,True,None,6,True,True,True,Global,Cloud,High,1,43433,6,300,Basic,Healthcare,10000,Tier 1,False,Azure,5000,10,junior-heavy,749134
Retail,Low,5,12,Python + Django,23,SMS,Moderate,True,True,None,5,True,True,True,National,On-prem,Low,3,14986,4,1000,Dedicated,Healthcare,20000,Rural,False,None,5000,12,senior-heavy,1206347
Education,High,12,11,MEAN,26,Maps,Advanced,True,True,Basic,2,True,False,True,Local,On-prem,High,1,67004,5,600,Basic,Logistics,10000,Tier 1,False,None,0,11,balanced,1736267
Education,Medium,5,12,MEAN,10,Maps,Moderate,True,False,None,8,True,True,False,Global,Hybrid,High,3,53676,7,600,Basic,Healthcare,5000,Rural,False,None,10000,12,balanced,982991
FinTech,Low,5,11,PHP + Laravel,14,Payment,Moderate,False,True,Advanced,2,False,False,True,Global,On-prem,High,1,55775,2,300,Dedicated,Education,5000,Tier 2,True,None,0,11,junior-heavy,355795
Healthcare,Low,7,3,PHP + Laravel,27,Maps,Advanced,False,True,Advanced,3,True,True,True,Global,On-prem,High,2,78281,6,600,None,Retail,0,Rural,False,DigitalOcean,5000,3,balanced,339025
Education,Low,12,10,Java + Spring Boot,25,Payment,Advanced,True,True,None,6,True,False,False,Local,Hybrid,High,2,82338,5,600,Basic,Healthcare,5000,Tier 1,True,None,0,10,balanced,1962587
FinTech,High,11,6,MERN,29,None,Advanced,False,False,None,9,False,True,False,Local,On-prem,Medium,2,37221,4,1000,Dedicated,Logistics,20000,Tier 1,False,DigitalOcean,3000,6,senior-heavy,1832851
Healthcare,Medium,13,2,Python + Django,5,SMS,Basic,True,False,None,5,True,False,False,Local,On-prem,High,5,21745,2,300,Basic,Retail,20000,Rural,True,None,0,2,junior-heavy,164107
Healthcare,High,13,3,MEAN,21,SMS,Basic,True,False,None,7,True,False,True,Local,On-prem,Low,5,13475,2,300,Basic,Retail,5000,Tier 2,True,None,0,3,junior-heavy,273085
E-commerce,High,15,12,MEAN,19,Maps,Advanced,True,True,Basic,10,False,True,True,Local,Cloud,Low,4,95733,5,300,Basic,Healthcare,0,Tier 2,True,Azure,1000,12,junior-heavy,1274643
Travel,Low,7,3,Java + Spring Boot,11,All,Advanced,True,False,Basic,1,True,False,False,Local,Cloud,Medium,5,77897,2,1000,Dedicated,Finance,10000,Tier 2,False,Azure,1000,3,senior-heavy,551754
E-commerce,Low,9,8,PHP + Laravel,7,None,Moderate,True,True,None,7,False,False,False,Global,On-prem,Low,5,70378,6,1000,Dedicated,Education,5000,Tier 2,True,DigitalOcean,3000,8,senior-heavy,1863160
Travel,High,4,5,MERN,14,SMS,Advanced,True,True,None,2,False,True,False,Global,Hybrid,Low,2,87354,7,1000,Dedicated,Education,10000,Tier 1,True,Azure,1000,5,senior-heavy,457863
Travel,Medium,14,4,MEAN,16,Payment,Advanced,False,True,None,6,False,False,True,National,Hybrid,High,5,10151,5,300,Basic,Logistics,10000,Tier 2,True,None,5000,4,junior-heavy,423257
Retail,High,12,7,MERN,12,All,Basic,True,True,None,1,False,False,False,Local,Cloud,Low,4,93638,7,300,Dedicated,Healthcare,10000,Tier 1,False,Azure,1000,7,junior-heavy,662442
E-commerce,High,9,7,MERN,10,Payment,Advanced,True,False,None,8,False,False,False,Local,Hybrid,Medium,0,48404,3,1000,Basic,Logistics,0,Tier 2,True,None,3000,7,senior-heavy,1517610
Education,Low,8,9,MEAN,22,Maps,Advanced,True,False,None,7,False,True,True,Global,Cloud,Medium,3,7900,3,1000,Dedicated,Retail,5000,Tier 1,True,Azure,1000,9,senior-heavy,1454542
Retail,Low,11,7,Python + Django,7,All,Advanced,True,False,Advanced,3,True,False,False,National,On-prem,High,5,42812,4,600,Basic,Retail,0,Tier 1,True,Azure,5000,7,balanced,1137938
Education,Medium,5,3,Python + Django,8,All,Moderate,True,False,Basic,8,False,True,True,Local,Hybrid,Medium,5,91391,6,1000,None,Education,0,Tier 2,True,AWS,1000,3,senior-heavy,304944
FinTech,Low,14,7,MERN,17,SMS,Advanced,True,True,Basic,2,True,True,True,Local,Cloud,Low,1,52555,4,300,Dedicated,Finance,0,Rural,False,AWS,5000,7,junior-heavy,764211
FinTech,Low,3,5,MERN,19,None,Basic,False,False,Basic,1,False,False,True,National,Cloud,Low,2,36731,5,300,None,Finance,5000,Rural,True,DigitalOcean,5000,5,junior-heavy,114396
Education,Low,10,10,Python + Django,11,All,Basic,True,False,Advanced,6,False,False,False,Global,Hybrid,Medium,3,35496,3,600,None,Retail,0,Rural,True,AWS,5000,10,balanced,1212571
Healthcare,Low,15,2,MERN,12,Payment,Moderate,True,True,Advanced,7,False,True,True,Local,Hybrid,Medium,5,91489,4,600,Dedicated,Finance,10000,Rural,False,Azure,5000,2,balanced,481202
E-commerce,Low,12,9,MERN,12,All,Basic,True,False,None,6,True,True,False,Global,Cloud,Medium,0,2922,3,300,Dedicated,Education,10000,Tier 1,False,AWS,10000,9,junior-heavy,747957
FinTech,Low,8,12,MEAN,28,SMS,Advanced,False,False,None,9,False,True,True,National,On-prem,High,5,38652,3,1000,None,Finance,0,Rural,False,AWS,5000,12,senior-heavy,2138604
E-commerce,Medium,5,7,MEAN,15,None,Basic,False,False,None,2,False,False,True,National,Cloud,Low,5,8935,4,1000,Basic,Finance,5000,Rural,True,AWS,10000,7,senior-heavy,934450
Education,Medium,9,8,PHP + Laravel,17,None,Moderate,True,True,Basic,2,True,False,True,National,On-prem,Low,0,44851,3,600,Basic,Education,20000,Rural,True,AWS,1000,8,balanced,1024612
Travel,Low,8,11,PHP + Laravel,18,Payment,Basic,True,False,None,4,False,False,False,National,Cloud,Low,0,51548,6,1000,Dedicated,Healthcare,0,Tier 1,True,DigitalOcean,5000,11,senior-heavy,2035855
E-commerce,Low,3,3,MEAN,25,Maps,Basic,False,True,Basic,7,False,False,False,Local,Hybrid,High,3,24282,4,600,Basic,Retail,20000,Tier 1,False,AWS,3000,3,balanced,137434
Retail,Low,7,9,MEAN,29,None,Basic,False,False,Advanced,4,True,False,False,Global,Hybrid,Medium,4,30936,5,600,Basic,Finance,5000,Tier 2,True,Azure,3000,9,balanced,1023220
Healthcare,Low,4,4,Python + Django,7,SMS,Basic,True,False,Basic,2,True,False,False,Global,On-prem,Medium,4,60101,8,600,None,Logistics,5000,Rural,False,AWS,1000,4,balanced,258379
Retail,Low,9,4,Java + Spring Boot,22,Maps,Moderate,False,False,Advanced,8,False,True,True,National,On-prem,Low,4,79827,7,300,Dedicated,Healthcare,0,Tier 1,False,DigitalOcean,10000,4,junior-heavy,338664
